"","DMSO_1_b1","DMSO_2_b1","DMSO_3_b1","DMSO_4_b1","DHT_100nM_24h_1_b1","DHT_100nM_24h_2_b1","DHT_100nM_24h_3_b1","DMSO_1_b2","DMSO_2_b2","DMSO_3_b2","DHT_100nM_24h_1_b2","DHT_100nM_24h_2_b2","DHT_100nM_24h_3_b2","DMSO_1_b3","DMSO_2_b3","DMSO_3_b3","DHT_100nM_24h_1_b3","DHT_100nM_24h_2_b3","DHT_100nM_24h_3_b3"
"KCNQ3",2.98397189895818,2.84184218530776,2.99038450989455,3.0269342995005,3.20895936067371,3.17263681835688,3.43765129243884,3.26085168312883,2.75968452708829,2.8861984605125,3.25831953993967,3.02586036581526,3.20260307895934,2.79945873454786,2.7297617998782,2.80461241577649,3.49776714306422,3.49094810391075,3.20793030797192
"PPP3CA",4.63853468332187,4.66629521162976,4.67754908909386,4.52365320329976,4.75867560773497,4.7700256601494,4.79211423764637,4.58021084813228,4.61188947186647,4.66833025155709,4.82601261411106,4.7057248765467,4.72826373889635,4.59571448513232,4.70609800316731,4.6423529555534,4.75843047296648,4.76162585605224,4.71616625828023
"ST6GAL2",4.45525160333145,4.23772282967068,4.29920964694533,4.34459909607442,4.35584467325109,4.50949905142935,4.51519207292688,4.30356114385774,4.21115365889971,4.28722934250552,4.46555230959152,4.57723743124718,4.39341861282991,4.41541381923231,4.2455662711398,4.25165294398651,4.40188010831325,4.41847772109707,4.47922325567778
"FAM171B",5.15918544885137,5.06987017616295,4.90680407382381,4.8860217426155,5.11666771784602,5.04105039662034,5.17976138070891,4.99414793671673,4.83532703941033,4.99596036681259,5.19493989741872,5.1297322422841,5.11284873061581,4.94898609456292,5.06756350151553,4.95489982916526,5.14770465758935,5.106106368279,5.04082923264426
"SYT17",4.25238539342926,4.19544062157572,4.21134779783516,4.21410416221517,4.19280329644754,4.06986949790257,4.00645721321836,4.23744860094768,4.10176854474006,4.18894594070547,4.18771554430595,4.13481438872572,4.1421727262898,4.21269405828362,4.25602519194706,4.25225248871441,4.03944018416,4.04643432428229,4.10729428654298
"NLGN4X",5.60783298274095,5.5115121266295,5.50089373616076,5.5394151746912,5.56698654921482,5.54621967439351,5.61277852587487,5.427272319024,5.43731379861099,5.48027699759557,5.67831269140887,5.63991773818495,5.59080282391083,5.497225847697,5.43143641883718,5.39848699421884,5.68966836668324,5.68304371009742,5.62965768204716
"AHI1",4.77566448746349,4.79542179295819,4.76411100531602,4.77504199985232,4.92232986865803,4.88550875036695,4.86982700338942,4.75280932296749,4.70270495358701,4.80551923808708,4.94685352799775,4.84211297013857,4.8814723782597,4.66996831604268,4.80397993125599,4.75333791032495,4.97136957141659,4.95921668971138,4.8369384596862
"ASXL3",5.4263892407037,5.25287095844753,5.19797581768308,5.32265077338007,5.33043779640148,5.40370177607028,5.53689165338169,5.31930176871084,5.28000869961914,5.31004388296774,5.53539847206442,5.42762971409722,5.27441502970116,5.18707942449414,5.28097051382471,5.255911601289,5.52652083948925,5.51211541298438,5.41789990834683
"CHD2",8.26974799244718,8.23416232296908,8.26252332361413,8.21458212026821,8.28136158080733,8.25361338238789,8.31588162197122,8.20653281130778,8.20397534446108,8.30187007818815,8.301701829373,8.31614502891751,8.20566096208385,8.20633750691205,8.17655539570296,8.20242031121625,8.35722414851584,8.3239467441437,8.31061197366233
"RFX3",7.4388971999548,7.29421764588349,7.15149066365289,7.23447643242314,7.33341058168891,7.35072885284482,7.38282116762501,7.28391583936352,7.15821988194777,7.31981118019042,7.43973531809397,7.38276485541998,7.21875286212494,7.18799066511619,7.24607334455703,7.22189937788444,7.48222857769415,7.38600076884309,7.34926214336329
"VSTM2L",5.35233056417096,5.21546541173263,5.44750363729293,5.43954440301283,5.30890212172142,5.13940382721706,5.20394450033891,5.25795136777741,5.40201562930236,5.430477643873,5.1646646010109,5.23777959896911,5.27174342347135,5.37043713442455,5.40160903585134,5.34747130017026,5.05953086262673,5.25206019218404,5.33651582140976
"IGFBP5",7.14133380017798,7.05827053273282,6.96728784973744,7.13791336047965,7.42150651227291,7.43414982705685,7.45634560092504,6.91373936770311,6.73796994718348,6.99469941239572,7.6685379316329,7.44508534506039,7.48812430826938,6.68185990024351,6.58277371745141,6.5673017647367,7.92327125202139,8.0506998059262,7.81548438742159
"FOXP1",4.62561522886173,4.51467749027662,4.58808321117111,4.59504421317623,4.7278834722283,4.55390271521909,4.55157583147187,4.40683742783293,4.57399173376617,4.64261470529204,4.58075832191098,4.59879275727426,4.672846026173,4.45229790382659,4.45605387261416,4.50129536784788,4.73516148614346,4.77144821873901,4.68554993410405
"GRIA2",1.96740108374337,2.32295286257492,1.95630953091928,2.26631369638303,2.46029915969895,2.35042312263209,2.5793013850804,2.29351561327609,2.01096389439651,2.09383085257203,2.63951771832913,2.44090494337058,2.16123311922247,1.86722644105849,2.22291765011283,2.27151328478433,2.62641738364868,2.55704251502535,2.3540981525348
"UNC5C",2.61740550966254,3.00814785910259,2.79298914598351,3.31518730953139,2.73123344896301,2.95180342580884,3.11897793251048,2.89126971648814,2.86182979746733,2.90373530932548,3.28850627595227,3.1071136431911,2.97108497693714,2.66009106366224,2.73370863425045,2.84950557912671,3.30017913243027,3.31923515594801,3.04620976427631
"RP11-166D19.1",4.08542961843634,4.04475626621566,4.07334703715434,4.00419141461645,4.28044245481134,4.29179041478428,4.24650061935223,3.8987227893177,4.02668079111493,3.94055886670993,4.17659740805334,4.26842493525285,4.29366011927375,3.88174671631011,4.09745612024743,4.00966776801784,4.28257767682314,4.27482628417066,4.34473855404265
"CHL1",5.66475428123056,5.4596979315331,5.26500303766132,5.41718384935518,5.39729894201797,5.5645133568371,5.50785233202537,5.32118186225434,5.13170337813856,5.44285669148011,5.57758032459511,5.5541390681637,5.49088017007485,5.28287807849147,5.28625249976804,5.3002503888079,5.74012626632499,5.63315713631127,5.53122750484352
"SORBS1",4.83986914992285,4.81249009195765,4.77166007427154,4.89672270516401,5.03173408087073,4.99896471134106,4.99775624957765,4.80486633680019,4.77983539874832,4.91506564689932,5.07671108990123,4.9023326817861,4.9047382518465,4.89629781998467,4.83880980247605,4.82039580332227,5.00191089643514,5.01949785345592,4.87892915108948
"PTEN",5.8045720658479,5.78657952929666,5.72323814951008,5.66285520416279,5.73776895127682,5.85937747359209,5.83946658575351,5.69859173162068,5.71798558564709,5.71421293577492,5.85816822225311,5.86246741299867,5.78589627079173,5.76866390676463,5.71769811323359,5.7217671458775,5.82589745330081,5.81088359454513,5.79637519483381
"LINC00657",9.13654625133768,9.09635631549894,8.99380425185154,9.02241689462009,9.14644363883783,9.08107547518983,9.16991165569524,9.07635611828893,8.99451637754545,9.07357686110251,9.20302833725144,9.13477566986354,9.07814263791396,9.06143336239364,9.03195298532074,9.05364488521064,9.17550803618097,9.18459931959126,9.06854274160846
"SORBS2",7.83847166601443,7.77699742783379,7.75372777567959,7.74915316287992,7.84698775754631,7.87280671709814,7.89604967255643,7.75925664763375,7.77797891025591,7.79362029202446,7.9731192413664,7.77477187382195,7.93141043732047,7.7745235868107,7.71491007049657,7.70763513911977,7.96681813589573,7.96457185360496,7.84574210608114
