,time,band
0,0.25,0.03974458983651809
1,0.688,0.046266693142264184
2,1.126,0.0565458230916044
3,1.564,0.07302276413108129
4,2.002,0.09709818993978417
5,2.44,0.12375459500107007
6,2.878,0.15261556721782504
7,3.316,0.17776031558844146
8,3.754,0.19595280513738508
9,4.192,0.2067569780837215
10,4.63,0.20928514614047605
11,5.068,0.20246003120291406
12,5.506,0.18888219471613
13,5.944,0.1698587357387244
14,6.382,0.1469764010837527
15,6.82,0.1227951468650206
16,7.258,0.09922266219343198
17,7.696,0.07772497994129657
